Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Mudroňovo,"[47.82964042, 18.32261561]","1468, 946 32 Mudroňovo, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",33 mins,1977,26.2 km,26225
Nesvady,"[47.9273292, 18.10509587]","Nesvady, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",33 mins,1957,29.4 km,29384
Okoličná na Ostrove,"[47.81572157, 17.92370434]","1459, 946 13 Okoličná na Ostrove, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",24 mins,1465,22.7 km,22725
Patince,"[47.74372732, 18.2919611]","946 39 Patince, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",26 mins,1554,19.3 km,19332
Pribeta,"[47.90053449, 18.3142535]","Školská 1335/24, 946 55 Pribeta, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",36 mins,2137,29.6 km,29568
Radvaň nad Dunajom,"[47.76010433, 18.35585129]","Radvaň nad Dunajom 441, 946 38 Radvaň nad Dunajom, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",39 mins,2363,27.4 km,27449
Sokolce,"[47.87718759, 17.86283951]","Unnamed Road, 946 17 Sokolce, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",39 mins,2315,33.6 km,33609
Šrobárová,"[47.8054012, 18.32243154]","Školská 105/7, 946 32 Šrobárová, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",32 mins,1944,25.5 km,25524
Tôň,"[47.80307342, 17.82761085]","Mlynská 67, 946 15 Tôň, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",26 mins,1574,24.6 km,24609
Trávnik,"[47.76740563, 17.79392416]","1422, 946 19 Trávnik, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",31 mins,1858,30.2 km,30215
Veľké Kosihy,"[47.76733877, 17.8831584]","1458, 946 21 Veľké Kosihy, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",24 mins,1434,22.3 km,22268
Bátorove Kosihy,"[47.83973075, 18.40431811]","Unnamed Road, 946 34 Bátorove Kosihy, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",42 mins,2517,34.4 km,34434
Vrbová nad Váhom,"[47.85405425, 18.05946269]","Unnamed Road, 945 01 Vrbová nad Váhom, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",30 mins,1796,21.9 km,21852
Zemianska Olča,"[47.82910096, 17.88417582]","1455, 946 14 Zemianska Olča, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",26 mins,1571,24.4 km,24412
Zlatná na Ostrove,"[47.77401437, 17.96283496]","Malomlynská 1, 946 12 Zlatná na Ostrove, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",19 mins,1147,14.3 km,14316
Bodzianske Lúky,"[47.8885344, 17.90308561]","Bodzianske Lúky 73, 946 14 Bodzianske Lúky, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",33 mins,1974,29.2 km,29238
Virt,"[47.75965997, 18.32109339]","1465, 946 38 Virt, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",28 mins,1688,23.7 km,23655
Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",1 min,0,1 m,0
Babiná,"[48.43593092, 19.06884621]","Unnamed Road, 962 61 Babiná, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",29 mins,1724,23.3 km,23263
Bacúrov,"[48.51939958, 19.04950154]","Bacúrov 1, 962 61 Bacúrov, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",21 mins,1279,15.6 km,15623
Breziny,"[48.51055241, 19.08649032]","Horné Breziny 14, 962 61 Breziny, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",18 mins,1099,13.2 km,13153
Budča,"[48.57608889, 19.05639693]","Stromová 466/19, 962 33 Budča, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",17 mins,996,12.4 km,12382
Bzovská Lehôtka,"[48.40340501, 19.13210525]","Unnamed Road, 962 62 Bzovská Lehôtka, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",33 mins,1997,26.7 km,26706
Dobrá Niva,"[48.47437349, 19.08805912]","Dubovská 584, 962 61 Dobrá Niva, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",22 mins,1291,17.0 km,17015
Dubové,"[48.49851586, 19.02892592]","962 61 Dubové, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",26 mins,1561,17.9 km,17924
Hronská Breznica,"[48.55517043, 18.99630511]","51, 966 11 Hronská Breznica, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",17 mins,1034,16.2 km,16179
Kováčová,"[48.60549001, 19.08756977]","Unnamed Road, 962 37 Kováčová, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",21 mins,1273,13.7 km,13747
Lešť (vojenský obvod),"[48.37208064, 19.28819879]","Unnamed Road, 962 63, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",45 mins,2709,39.2 km,39189
Michalková,"[48.51477777, 19.14095622]","Padovci 19, 962 61 Michalková, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",37 mins,2225,17.9 km,17857
Očová,"[48.61987483, 19.35053746]","Unnamed Road, 962 23 Očová, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",34 mins,2031,27.0 km,27043
Ostrá Lúka,"[48.54365148, 19.0518818]","2440, 962 61 Ostrá Lúka, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",20 mins,1197,16.5 km,16491
Pliešovce,"[48.43966547, 19.20519388]","2463, 962 63 Pliešovce, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",36 mins,2167,32.5 km,32547
Podzámčok,"[48.50974762, 19.11499963]","Unnamed Road, 962 61 Podzámčok, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",20 mins,1227,15.4 km,15376
Sása,"[48.45040734, 19.15009545]","Unnamed Road, 962 62 Sása, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",28 mins,1659,23.2 km,23250
Sielnica,"[48.65049906, 19.08533688]","Unnamed Road, 962 31 Sielnica, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",25 mins,1474,19.6 km,19607
Sliač,"[48.61797581, 19.10600932]","Unnamed Road, 962 31 Sielnica, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",23 mins,1387,14.5 km,14472
